,Quotes,Tags
52,"Creative risk taking is essential to success in any goal where the stakes are high. Thoughtless risks are destructive, of course, but perhaps even more wasteful is thoughtless caution which prompts inaction and promotes failure to seize opportunity.",Chance
53,God's dice always have a lucky roll.,Chance
54,Care and diligence bring luck.,Chance
55,"Luck, that's when preparation and opportunity meet.",Chance
56,To work all the time is to be incredibly lucky.,Chance
57,"I just do whatever it is that I believe I should do, regardless of the risks to my life.",Chance
58,"However well organized the foundations of life may be, life must always be full of risks.",Chance
59,Good luck has its storms.,Chance
60,The worst cynicism: a belief in luck.,Chance
61,Some folk want their luck buttered.,Chance
62,"I must learn to love the fool in me - the one who feels too much, talks too much, takes too many chances, wins sometimes and loses often, lacks self-control, loves and hates, hurts and gets hurt, promises and breaks promises, laughs and cries.",Chance
63,Take calculated risks. That is quite different from being rash.,Chance
64,"I have found that I always learn more from my mistakes than from my successes. If you aren't making some mistakes, you aren't taking enough chances.",Chance
65,"In battle, you forgive a man anything except an unwillingness to take risks. Sometimes you have to put it on the line.",Chance
66,"Most of us regard good luck as our right, and bad luck as a betrayal of that right.",Chance
67,"If you are living a life that feels right to you, if you're willing to take creative chances or a creative path that feels like it's mostly in keeping with your sensibilities, you know, aesthetic and artistic, then that's what matters.",Chance
68,We are not trying to entertain the critics. I'll take my chances with the public.,Chance
69,"You know, from my point of view, I'm the luckiest cat on the planet.",Chance
70,"Fortune, seeing that she could not make fools wise, has made them lucky.",Chance
71,Luck marches with those who give their very best.,Chance
72,Necessity is the mother of taking chances.,Chance
73,"If you are worried about what people think of you, you should go into politics. Real actors take chances.",Chance
74,Nothing is as obnoxious as other people's luck.,Chance
75,I don't believe in pitfalls. I believe in taking risks and not doing the same thing twice.,Chance
76,I fear the boredom that comes with not learning and not taking chances.,Chance
77,"You gotta learn that if you don't get it by midnight, chances are you ain't gonna get it, and if you do, it ain't worth it.",Chance
78,"It's not that I don't value my life. It's just that I love taking chances, testing myself, stepping over the line.",Chance
79,I think luck is the sense to recognize an opportunity and the ability to take advantage of it... The man who can smile at his breaks and grab his chances gets on.,Chance
80,"I do think taking the 20s to take the most chances you can is important, because you're not going to hurt anyone else during that time. And if you do have a partner, you need a couple years to rehearse that relationship.",Chance
81,If you know you can do it - if you can already chart every day in your future - then why bother? Choose to do something you have more trouble imagining. Take a chance.,Chance
82,Thinking of Plan B muddies up your chances of succeeding at Plan A.,Chance
83,The best thing to do is stare it in the face and move on. We have to face our fears and plow through. I think taking chances takes a lot more courage than staying stagnant and doing what's safe and comfortable.,Chance
84,I like entrepreneurial people; I like people who take risks.,Chance
85,"Great risks come in long term, tremendously assiduous, very courageous study.",Chance
86,"When the phone started ringing too many times, I had to take it back to what I can handle. I take my chances on a job or a person as opposed to a situation. I don't like to have a situation placed over my head.",Chance
87,"Just by luck, I picked good heroes to worship.",Chance
88,"A life lesson for me is, how do you muster the courage to take on a new risk? Whether it's starting up a business or taking on a new project or expedition. I think the risks that we take are all relative to the risk-taker.",Chance
89,When a person cannot deceive himself the chances are against his being able to deceive other people.,Chance
90,The man who is intent on making the most of his opportunities is too busy to bother about luck.,Chance
91,I lucked out when I started to sing. I'd already experienced failing at everything else.,Chance
92,"I have the freedom to take chances, to say no. I have the freedom to be who I really want to be, rather than have to conform to this or that just to stay alive.",Chance
93,I take risks - that's my life on the slopes and off.,Chance
94,Every business and every product has risks. You can't get around it.,Chance
95,"If you like the stuff I do, my chances of liking you go up.",Chance
96,"And when I was saying I want to become number one of the world and I was 7, 8 years old, most of the people were laughing to me. Because you know, it seemed like I have one percent chances to do that. And I've done it.",Chance
97,"There is no such thing as luck. It's a fancy name for being always at our duty, and so sure to be ready when good time comes.",Chance
98,"I'm the one who will take chances, not worry about the backlash.",Chance
99,Living is risking.,Chance
100,Taking risks gives me energy.,Chance
101,I guess I've always been attracted to people who stand out as individuals - people who are adventurous and take chances.,Chance
102,"Sometimes I wake up in the morning and feel like going straight back to bed. But I still have to get up and work, and I still have to take advantage of the chances I've been given in life.",Chance
103,The true statesman is the one who is willing to take risks.,Chance
104,"I think people who are not rich can be extremely happy. And I think the chances to be happy in this new world - with many more opportunities to be creative, to be online, to educate yourself - there'll be a lot more chances to be happy. It's not to say everyone will take them, but there will be a lot of new paths to opportunity.",Chance
105,"I think it's no secret that I've tried to take chances in my career and also in my life, and I believe to not live in fear.",Chance
106,I believe in taking chances and living your life. Sometimes doors open and others close and you have to figure out which one you're going to take. I'm always for the one that's challenging.,Chance
107,"I prefer to be alive, so I'm cautious about taking risks.",Chance
108,"To be successful, one must take chances.",Chance
109,It comes from the likes of you! Take what you can get! Grab the chances as they come along! Act in hallways! Sing in doorways! Dance in cellars!,Chance
110,"This business is always changing. If you're going to be a leader, you've got to take chances.",Chance
111,Some campaigns are not worth waging if you can't win; others have to be fought on grounds of principle regardless of the chances for success.,Chance
112,"Sometimes there are things worth risking your life for. It was Jesus who said if you want to save your life, you have to lose it.",Chance
113,"It is not like I have gone crazy, I just don't want to take any chances. You never know what could happen.",Chance
114,I love taking chances.,Chance
115,It's not about failure; it's about trying something and risking something for attaining your goal.,Chance
116,"I tend to be a person who starts with the presumption that I should trust you until you abuse the privilege, and then our relationship is forever changed. That's a very big line, and chances are it's not going to work if it's crossed. I warn people that this is how I'm going to deal with it.",Chance
117,"It's luck that one thing works out and one doesn't, it's sort of happenstance.",Chance
118,I just have to take my chances like any other composer.,Chance
119,"If someone is always to blame, if every time something goes wrong someone has to be punished, people quickly stop taking risks. Without risks, there can't be breakthroughs.",Chance
120,"When a man has no reason to trust himself, he trusts in luck.",Chance
121,"Where there is a will, there is a way. If there is a chance in a million that you can do something, anything, to keep what you want from ending, do it. Pry the door open or, if need be, wedge your foot in that door and keep it open.",Chance
122,A problem is a chance for you to do your best.,Chance
123,"Destiny is no matter of chance. It is a matter of choice. It is not a thing to be waited for, it is a thing to be achieved.",Chance
124,Growth is never by mere chance; it is the result of forces working together.,Chance
125,"A holiday is an opportunity to journey within. It is also a chance to chill, to relax. It is when I switch on my rest mode.",Chance
126,"Every moment is an organizing opportunity, every person a potential activist, every minute a chance to change the world.",Chance
127,"Every existing thing is born without reason, prolongs itself out of weakness, and dies by chance.",Chance
128,"Learning is not attained by chance, it must be sought for with ardor and diligence.",Chance
129,It's choice - not chance - that determines your destiny.,Chance
130,"Absolutely, I think every day is a new day, every day is a new opportunity, and every day is a new chance.",Chance
131,"The world is so unpredictable. Things happen suddenly, unexpectedly. We want to feel we are in control of our own existence. In some ways we are, in some ways we're not. We are ruled by the forces of chance and coincidence.",Chance
132,"A man who has nothing for which he is willing to fight, nothing which is more important than his own personal safety, is a miserable creature and has no chance of being free unless made and kept so by the exertions of better men than himself.",Chance
133,All I ask is the chance to prove that money can't make me happy.,Chance
134,"To reminisce with my old friends, a chance to share some memories, and play our songs again.",Chance
135,"If agriculture goes wrong, nothing else will have a chance to go right.",Chance
136,"We are not the same persons this year as last; nor are those we love. It is a happy chance if we, changing, continue to love a changed person.",Chance
137,"When I have a chance to go back to my village, I always remind myself where I came from.",Chance
138,"It's not how you start the season, it's how you finish. If you wind up helping the team make the playoffs, that's what you play for. You don't play to put up your numbers, but to try to get a chance to make it to the World Series.",Chance
139,I don't want to miss out on the chance of having a good time.,Chance
140,A lie gets halfway around the world before the truth has a chance to get its pants on.,Chance
141,"Tea time is a chance to slow down, pull back and appreciate our surroundings.",Chance
142,"My favorite fruit is grapes. Because with grapes, you always get another chance. 'Cause, you know, if you have a crappy apple or a peach, you're stuck with that crappy piece of fruit. But if you have a crappy grape, no problem - just move on to the next. 'Grapes: The Fruit of Hope.'",Chance
143,Far and away the best prize that life has to offer is the chance to work hard at work worth doing.,Chance
144,"We have created a society where individual rights and freedoms, compassion and diversity are core to our citizenship. But underlying that idea of Canada is the promise that we all have a chance to build a better life for ourselves and our children.",Chance
145,"Enjoy your sweat because hard work doesn't guarantee success, but without it you don't have a chance.",Chance
146,"If you are given a chance to be a role model, I think you should always take it because you can influence a person's life in a positive light, and that's what I want to do. That's what it's all about.",Chance
147,It takes but one positive thought when given a chance to survive and thrive to overpower an entire army of negative thoughts.,Chance
148,"Take the risk. Take the chance. Put your heart and soul into it, because when you put your soul into it, you will become what you've always dreamed. You yourself will become a legend.",Chance
149,"You pity the fool because you don't want to beat up a fool! You know, pity is between sorry and mercy. See, if you pity him, you know, you won't have to beat him up. So that's why I say fools, you gotta give another chance because they don't know no better. That's why I pity them!",Chance
150,"I really had a lot of dreams when I was a kid, and I think a great deal of that grew out of the fact that I had a chance to read a lot.",Chance
151,"The 50-50-90 rule: Anytime you have a 50-50 chance of getting something right, there's a 90% probability you'll get it wrong.",Chance
152,"I've always made a total effort, even when the odds seemed entirely against me. I never quit trying; I never felt that I didn't have a chance to win.",Chance
153,"Every year on your birthday, you get a chance to start new.",Chance
154,"No man will be a sailor who has contrivance enough to get himself into a jail; for being in a ship is being in a jail, with the chance of being drowned... a man in a jail has more room, better food, and commonly better company.",Chance
155,Freedom is nothing but a chance to be better.,Chance
156,We all have big changes in our lives that are more or less a second chance.,Chance
157,"If you go around being afraid, you're never going to enjoy life. You have only one chance, so you've got to have fun.",Chance
158,"Chance is always powerful. Let your hook always be cast; in the pool where you least expect it, there will be fish.",Chance
159,"The Special Olympics motto, 'Let me win, but if I cannot win, let me be brave in the attempt,' really speaks to me because it embodies exactly what I have pursued in my life. Really, that's all any of us can hope for - a chance to be brave and to pursue a dream.",Chance
160,Filmmaking is a chance to live many lifetimes.,Chance
161,I will prepare and some day my chance will come.,Chance
162,Give yourself a chance to see how much better life will get. And it will get better.,Chance
163,"Anywhere, anytime ordinary people are given the chance to choose, the choice is the same: freedom, not tyranny; democracy, not dictatorship; the rule of law, not the rule of the secret police.",Chance
164,If you do not believe you can do it then you have no chance at all.,Chance
165,Persistence and resilience only come from having been given the chance to work though difficult problems.,Chance
166,"Friendships in childhood are usually a matter of chance, whereas in adolescence they are most often a matter of choice.",Chance
167,"Coffee has always been a significant part of my life. For me, it's a chance to start my day and gather my thoughts - it's fuel for my creative process.",Chance
168,"Atheism is so senseless. When I look at the solar system, I see the earth at the right distance from the sun to receive the proper amounts of heat and light. This did not happen by chance.",Chance
169,"Housework can't kill you, but why take a chance?",Chance
170,"There is no chance, no destiny, no fate, that can circumvent or hinder or control the firm resolve of a determined soul.",Chance
171,"I know life goes on if you make a big bet and you lose. But if you don't give yourself the best chance of winning, you're going to kick yourself tomorrow.",Chance
172,You can't sit on a lead and run a few plays into the line and just kill the clock. You've got to throw the ball over the damn plate and five the other man his chance. That's why baseball is the greatest game of them all.,Chance
173,I have as much chance of becoming Prime Minister as of being decapitated by a frisbee or of finding Elvis.,Chance
174,Forgiveness says you are given another chance to make a new beginning.,Chance
175,"There are good people who are dealt a bad hand by fate, and bad people who live long, comfortable, privileged lives. A small twist of fate can save or end a life; random chance is a permanent, powerful player in each of our lives, and in human history as well.",Chance
176,"Our greatest happiness does not depend on the condition of life in which chance has placed us, but is always the result of a good conscience, good health, occupation, and freedom in all just pursuits.",Chance
177,"There's nothing as exciting as a comeback - seeing someone with dreams, watching them fail, and then getting a second chance.",Chance
178,Health care is not a privilege. It's a right. It's a right as fundamental as civil rights. It's a right as fundamental as giving every child a chance to get a public education.,Chance
179,"I think there's no higher calling in terms of a career than public service, which is a chance to make a difference in people's lives and improve the world.",Chance
180,"The golden opportunity you are seeking is in yourself. It is not in your environment; it is not in luck or chance, or the help of others; it is in yourself alone.",Chance
181,"All human beings are born entrepreneurs. Some get a chance to unleash that capacity. Some never got the chance, never knew that he or she has that capacity.",Chance
182,"I like to show my ability on the field. I'm not one to show off with words. I'm really looking forward to the chance. I'm a calm goalkeeper, and above all, I've got a real desire to win. When I get on the pitch, I give everything for the team, everything for the shirt.",Chance
183,You only get one chance at life and you have to grab it boldly.,Chance
184,We must overcome the notion that we must be regular... it robs you of the chance to be extraordinary and leads you to the mediocre.,Chance
185,"I think one of the coolest things you can do is disappear for a while, because it gives you the chance to re-emerge. To sort of pounce out of the jungle.",Chance
186,Always go to the bathroom when you have a chance.,Chance
187,"Trajectories aren't linear. Life's just a roller coaster. If you're getting a chance to do cool stuff, and it's varied stuff, just enjoy it. I guess I'm a believer in the randomness of life rather than it being a linear trajectory or an arc, a consistent smooth arc, towards anything.",Chance
188,"If by chance some day you're not feeling well and you should remember some silly thing I've said or done and it brings back a smile to your face or a chuckle to your heart, then my purpose as your clown has been fulfilled.",Chance
189,"America is the land of the second chance - and when the gates of the prison open, the path ahead should lead to a better life.",Chance
190,"Time is a finite resource that you can't get back. I have the same 24 hours you have, and you get the same 24 hours as me. As you rise, so does you chance for opportunity.",Chance
191,"There's only so much you can do, but if somebody doesn't give you a chance there is nothing you can do.",Chance
192,"Education must lead us from the irresponsible opinion to true responsible judgment. It must lead us from chance and arbitrariness to rational clarity and intellectual order. Therefore, let us guide our students over the road of discipline from materials, through function, to creative work.",Chance
193,One chance is all you need.,Chance
194,You just gotta use the sunset as a reset button and start over in the morning with every chance you get to open your eyes.,Chance
195,"The longer you hang in there, the greater the chance that something will happen in your favor. No matter how hard it seems, the longer you persist, the more likely your success.",Chance
196,"Nobody owes anybody a living, but everybody is entitled to a chance.",Chance
197,"The art of war teaches us to rely not on the likelihood of the enemy's not coming, but on our own readiness to receive him; not on the chance of his not attacking, but rather on the fact that we have made our position unassailable.",Chance
198,It is an eternal obligation toward the human being not to let him suffer from hunger when one has a chance of coming to his assistance.,Chance
199,"Do you want to be safe and good, or do you want to take a chance and be great?",Chance
200,"First, I have to thank God for giving me the gift that he did as well as a second chance for a better life.",Chance
201,"Chance is hugely significant in biology. In fact, the presence of apparent randomness in so many aspects of biology - from mutations in DNA to the chance involved in that one sperm reaching that one egg that became you - suggests that randomness is useful, even necessary, in very many cases.",Chance
202,"When people express opinions that differ from yours, take it as a chance to grow. Seek to understand over being understood. Be curious, not defensive. The only way to disarm another human being is by listening.",Chance
203,When men and women are able to respect and accept their differences then love has a chance to blossom.,Chance
204,Children are our second chance to have a great parent-child relationship.,Chance
205,I never miss a chance to have sex or appear on television.,Chance
206,Everyone deserves a second chance. That's just the way I am.,Chance
207,"Since there is nothing so well worth having as friends, never lose a chance to make them.",Chance
208,"If you have a chance to accomplish something that will make things better for people coming behind you, and you don't do that, you are wasting your time on this earth.",Chance
209,"Not to get too deep on shaving my mustache, but it was kind of symbolic of, 'This is a moment of liberation, a chance to reinvent yourself.' That's kind of what I did.",Chance
210,"Sometimes in life, you're not always given a second chance, but if you do, take advantage of it, and go out with a bang!",Chance
211,Climate change is destroying our path to sustainability. Ours is a world of looming challenges and increasingly limited resources. Sustainable development offers the best chance to adjust our course.,Chance
212,"No man ever wetted clay and then left it, as if there would be bricks by chance and fortune.",Chance
213,A life lived of choice is a life of conscious action. A life lived of chance is a life of unconscious creation.,Chance
214,"My grandfather died before I was born, so I never had the chance to speak with him about his father. But I learned about him from books.",Chance
215,The great thing about getting older is that you get a chance to tell the people in your life who matter what they mean to you.,Chance
216,There's no chance that the iPhone is going to get any significant market share.,Chance
217,"Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars.",Chance
218,"I see retirement as just another of these reinventions, another chance to do new things and be a new version of myself.",Chance
219,"I do believe in humanism, and I believe that we should treat each other with respect and care and look after each other. All human beings should have an equal chance to survive in society, and inequality is a big problem in society.",Chance
220,"In the fell clutch of circumstance, I have not winced nor cried aloud: Under the bludgeoning of chance my head is bloody, but unbowed.",Chance
221,"I grew up never seeing myself on-screen, and it's really important to me to give people who look like me a chance to see themselves. I want to see myself as the hero of any story. I want to see myself save the world from the bomb.",Chance
222,"There's no reason why children in inner cities or rural areas do not receive the same quality education or opportunities as those in suburbs or wealthy neighborhoods. If we truly believe in giving all citizens a chance to pursue happiness and pursue their goals, then we cannot continue to marginalize entire groups of people.",Chance
223,I am a sleepy fellow. I will take a nice long nap the first chance I get.,Chance
224,Negotiation is often described as the art of letting the other side have your way. You have to give the other side a chance to put stuff on the table voluntarily.,Chance
225,"Each year, Labor Day gives us an opportunity to recognize the invaluable contributions that working men and women make to our nation, our economy and our collective prosperity. It gives us a chance to show gratitude for workers' grit, dedication, ingenuity and strength, which define our nation's character.",Chance
226,"Power is the chance to impose your will within a social context, even when opposed and regardless of the integrity of that chance.",Chance
227,You might not trust me. Please give me a chance and time. I will prove myself for all of you.,Chance
228,"Humans are startlingly bad at detecting fraud. Even when we're on the lookout for signs of deception, studies show, our accuracy is hardly better than chance.",Chance
229,Everything existing in the universe is the fruit of chance and necessity.,Chance
230,"If the sun comes up, I have a chance.",Chance
231,"When I'm ready to fight, my opponent has a better chance of surviving a forest fire wearing gasoline drawers.",Chance
232,"When someone saves your life and gives you life, there's gratitude, humility; there's a time you've been so blessed you realize you've been given another chance at life that maybe you did or didn't deserve.",Chance
233,"Everyone has a chance to learn, improve, and build up their skills.",Chance
234,"I am blessed to have got a chance to work with directors like Anurag Kashyap, Vishal Bhardwaj, and Nikhil Advani at such an early age.",Chance
235,"As a rock star, I have two instincts, I want to have fun, and I want to change the world. I have a chance to do both.",Chance
236,It has been an honor and a privilege to have had the chance to come back to Liverpool Football Club as manager.,Chance
237,"The world is like a reverse casino. In a casino, if you gamble long enough, you're certainly going to lose. But in the real world, where the only thing you're gambling is, say, your time or your embarrassment, then the more stuff you do, the more you give luck a chance to find you.",Chance
238,"At the end of the day, having a partner in crime for life is so amazing and special, when it's real and genuine, that it's worth taking the risk. And you are going to get hurt; trust me - I know! I've been hurt a couple times - maybe more than a couple times. But you gotta pick yourself back up and give it another chance.",Chance
239,"As long as the people don't fear the truth, there is hope. For once they fear it, the one who tells it doesn't stand a chance. And today, truth is still beautiful... but so frightening.",Chance
240,It is the individual who knows how little they know about themselves who stands the most reasonable chance of finding out something about themselves before they die.,Chance
241,"Rondo's a great player, and most teams look at it that anytime you have a chance to get a great player, you do it.",Chance
242,"I always think I have a chance, and I always give it all I've got.",Chance
243,"I never got the chance to meet Linda Brown; there were several times we were supposed to meet or be on the same stage together, but life gets in the way, and it never happened.",Chance
244,"It was a fun film. I had a great time doing it. I was looking for a role just like that for my first movie role. I didn't want to have a starring role, because I wanted a chance to learn. I didn't want the whole thing riding on me.",Chance
245,I'm changing lineups obviously to give everybody their best opportunity to show what they can do. Just giving everybody their fair chance to assess that properly.,Chance
246,Frank Rijkaard put me in the first team when I was 17 and gave me every week the chance to play with the first team and start my way in football. I was so young and my dreams came true so quickly thanks to Rijkaard.,Chance
247,"When we first did 'Big Night Out,' there was no chance of someone doing a little show in a pub then being on telly. There was a little Oxbridge route in and an old-fashioned variety route.",Chance
248,"If you don't take the chance to live life, what can you say at the end of it?",Chance
249,"I was a bowler - left arm, smash it down as fast as I could. I did a lot of work with Damian D'Oliveira, and I probably had a chance of doing that for a living. But when I reached 16, I knew I couldn't carry on playing both football and cricket, and I was already in the Shrewsbury squad.",Chance
250,"It's one of the things that 'Everwood' - what makes a great 'Everwood' episode is when it makes you laugh and cry, sometimes at the same time. From the first season, we've always had the chance to deal with death in a very real way, in a way that a lot of other shows can't or don't.",Chance
251,"By giving the public a rich and full melody, distinctly arranged and well played, all the time creating new tone colors and patterns, I feel we have a better chance of being successful. I want a kick to my band, but I don't want the rhythm to hog the spotlight.",Chance
252,"It perhaps has a chance, a commercial chance, this film. It's funny, it's charming, the idea is original, it's unusual and it makes fun of the movie industry in a way that it needs to be poked fun at.",Chance
253,"I hope people will never stop dressing up as Harry Potter. It feels less to me like something you wear because you think it's a great costume idea and more like something you wear because you really like wearing your Hogwarts robe, and you really only get the one chance per year.",Chance
254,"When I decided to go to university I didn't know what I wanted to do. When I had an opportunity to take an elective I took Drama by chance, even though I'd never taken a Drama course or even been in a play in high school. Two years later I was majoring in Drama and I knew I wanted to be an actor.",Chance
255,"When I was first diagnosed, I went out, as a book person, and got some books on cancer and looked up my version of the disease. It said that I had about a 5 percent chance of survival. I said, 'Gosh, well, it's been a good run.' What I didn't realize is that in the two years since those books were published, things had shifted dramatically.",Chance
256,Holding women to the idea of 'write what you know' subtly reinforces the status quo. Writing is a chance to celebrate who we are. But it's also a chance to celebrate who we could be.,Chance
257,"When I get a chance to power jump off both legs, I can lean, twist, change directions and decide whether to dunk the ball or pass it to an open man. In other words, I may be committed to the air, but I still have some control over it.",Chance
258,If life throws a second or a third chance at you I think you should take it because that is life all about.,Chance
259,"The consequences for failure are very different if you're a woman or a person of color than they are if you're a guy. If you're a guy who makes a mistake, you get a second chance. Often, for those of us who are outsiders, we make a mistake, and that's the end of the conversation.",Chance
260,"My main concern is when it's 2-0, I've got to keep it at 2-0. It gives us a little more of a chance. To give up four more runs, that isn't going to get it done. I don't care who you're facing or who you're playing, it's not going to get it done.",Chance
261,"During my time with Maccabi Tel Aviv, I learned how to play better by using my head. I was given the chance of playing a more forward position so I could score many goals. In short, I have become a player who can score goals and win games.",Chance
262,"So, you pick this stuff here and this stuff there and then you see things in certain ways and you start visualizing and thank God I get the chance to do this. It's really the greatest thing in the whole wide world.",Chance
263,"It is not about the money. It's the public service aspect. Absolutely, I think it has qualities of redemption. The city gets a second chance. I get a second chance.",Chance
264,Cartoon Hangover has given us another place we felt we could find the most talented people around the world and give them a chance to make the films they want to make and match it up with their audience.,Chance
265,"If I was 19, 20, 18, and I had the chance to play with first-team players of Manchester United, I will definitely try to take my chance.",Chance
266,"If you keep a healthy state of mind, you give yourself a great chance to bring out the best in yourself.",Chance
267,"I'm particular about the projects that I've chosen. Each one of them, I've taken a step up, like climbing a ladder. Before, it was baby-steps, up to 'Riddick.' Then I took this huge leap onto 'Guardians!' It was such a higher level, this huge project which originally I never thought I'd have a chance in hell of getting.",Chance
268,"If I put the script down more than once, there's a good chance that I probably don't want to play the part.",Chance
269,"In the newspaper business, I was in the last generation before the arrival of the personnel manager. You were hired by editors - and editors who would take a chance on what they perceived to be talent and not hire a resume.",Chance
270,"I worked as a waiter when I was 15 and got a chance to appreciate good, simple food. There's nothing better than a boiled egg with toast.",Chance
271,Both of my parents were born into poor families on the island of Cuba. They came to America because it was the only place where people like them could have a chance.,Chance
272,"Most people sort of enjoy going to work because of the socialisation, a chance to flirt with co-workers and so on, but actually hate the job they do.",Chance
273,"I went to see 'Kinky Boots' to see my friend Billy Porter in his groundbreaking performance. But while backstage, I was hoping for a chance to meet this young, dynamic performer Annaleigh Ashford. Her comic timing was brilliant. And she is obviously a triple threat.",Chance
274,I almost missed the chance to join Barcelona because I was on holiday in Mali visiting my parents' family for the first time. We spent all summer there and every day Barcelona were calling my mother's phone and getting no reply because she had left it in Barcelona.,Chance
275,"Most artists never get a chance to be Picasso, but that doesn't mean you would stop painting.",Chance
276,"People saw the Depression as a necessary thing - a chance to squeeze out the excesses, get back to Puritan morality. That just made things worse.",Chance
277,I eat at In-N-Out Burger every chance I get.,Chance
278,"There are always a lot of guys that have potential, but to make it a certain amount of years in the league, it takes more than just potential. You have to be professional, you have to be a good teammate, do things the right way. So now, any chance I get to talk to younger guys, I do it.",Chance
279,"Sama means 'equal' in Sanskrit; I chose 'Samasource' because I thought it really reflected a value that I had and that I wanted the company to have, which is that everyone has equal capabilities and deserves an equal chance.",Chance
280,Nothing in this world can take the place of persistence. Talent will not: nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not: the world is full of educated derelicts. Persistence and determination alone are omnipotent.,Failure
281,But man is not made for defeat. A man can be destroyed but not defeated.,Failure
